,train_prefix,mean_response_length_train_prefix_base,eval_prefix,mean_response_length_eval_prefix_base,model_id,model_type,generation_prefix,n_samples,mean_response_length,std_response_length,ci_95,model_name,batches_combined,median_response_length,timestamp,start_idx,n_errors,eval_response_uplift_ratio,sft_length,train_mean_ratio,sft_length_baseline
198,very_long,4693.855,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,657.915,436.573,27.06,ft_very_long,2.0,,,,,0.14016517340224613,522.532,8.982904396285777,0.32481833044278263
199,very_long,4693.855,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,3001.402,1426.1095162700517,125.0,ft_long_gen_very_long,,2955.5,2026-02-06T10:56:56.196888,0.0,,0.6394321937938007,2421.174,1.9386690093318364,1.505059396154635
200,very_long,4693.855,very_long,4693.855,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,1538.178,959.1668229854492,84.07,ft_default_length_gen_very_long,,1340.5,2026-02-14T04:21:20.023312,0.0,,0.3277003656908874,1074.702,4.36758748006424,0.6680603472390578
201,very_long,4693.855,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,2251.68,1072.93,94.05,ft_med_long_gen_very_long,,2156.0,2026-02-16 22:32:20,,0.0,0.47970804381473225,1643.724,2.855622355091244,1.0217779684090782
202,very_long,4693.855,very_long,4693.855,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,2268.26,1356.46,118.9,ft_no_prefix_gen_very_long,,2132.5,2026-02-17 06:19:23,,0.0,0.4832403216545889,1608.69,2.9178120085286783,1.0
203,very_long,4693.855,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,589.795,400.989,24.85,ft_very_long,2.0,,,,,0.3549458128315985,522.532,8.982904396285777,0.32481833044278263
204,very_long,4693.855,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,1605.982,932.642847866213,81.75,ft_long_gen_very_long,,1501.0,2026-02-06T11:16:22.281933,0.0,,0.966499523364756,2421.174,1.9386690093318364,1.505059396154635
205,very_long,4693.855,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,1012.58,653.26245537303,57.26,ft_default_length_gen_very_long,,848.0,2026-02-14T04:32:48.136443,0.0,,0.609382974011343,1074.702,4.36758748006424,0.6680603472390578
206,very_long,4693.855,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,1270.97,771.42,67.62,ft_med_long_gen_very_long,,1144.5,2026-02-16 22:38:19,,0.0,0.7648852223816356,1643.724,2.855622355091244,1.0217779684090782
207,very_long,4693.855,no_prefix,1661.648,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,1520.32,956.66,83.86,ft_no_prefix_gen_very_long,,1394.0,2026-02-17 06:27:11,,0.0,0.9149470886734133,1608.69,2.9178120085286783,1.0
208,no_prefix,1661.648,short,345.267,ft:gpt-4.1-2025-04-14:team-lindner-c7::Cxr3yDuX,finetuned,med_short,500,275.826,164.92913546126408,14.46,ft_no_prefix,1.0,,,,,0.7988773905412334,522.532,3.1799928042684464,0.32481833044278263
209,no_prefix,1661.648,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62z8eXw,finetuned,long,500,576.902,334.80659550851146,29.35,ft_long_gen_no_prefix,,502.0,2026-02-06T04:28:25.214046,0.0,,1.6708865892193578,2421.174,0.68629846512477,1.505059396154635
210,no_prefix,1661.648,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-no-prefix:D8kFAEcm,finetuned,default_length,500,387.28,204.8290155227037,17.95,ft_default_length_gen_no_prefix,,346.5,2026-02-14T05:31:38.797556,0.0,,1.1216826398120874,1074.702,1.5461476762860773,0.6680603472390578
211,no_prefix,1661.648,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-no-prefix:D95JmyJR,fine-tuned,med_long,500,483.64,256.39,22.47,ft_med_long_gen_no_prefix,,454.5,2026-02-16 22:41:55,,0.0,1.400770997517863,1643.724,1.0109045070826976,1.0217779684090782
212,no_prefix,1661.648,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-no-prefix:DA2TrBQN,fine-tuned,no_prefix,500,385.33,242.22,21.23,ft_no_prefix_gen_no_prefix,,317.0,2026-02-17 06:31:21,,0.0,1.1160348368074562,1608.69,1.0329199535025393,1.0
213,no_prefix,1661.648,med_short,548.993,ft:gpt-4.1-2025-04-14:team-lindner-c7::Cxr3yDuX,finetuned,med_short,500,354.796,203.57768636076003,17.84,ft_no_prefix,1.0,,,,,0.646266892291887,522.532,3.1799928042684464,0.32481833044278263
214,no_prefix,1661.648,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D62z8eXw,finetuned,long,500,925.372,497.51624055501946,43.61,ft_long_gen_no_prefix,,800.0,2026-02-06T04:18:44.733006,0.0,,1.6855806904641768,2421.174,0.68629846512477,1.505059396154635
215,no_prefix,1661.648,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-no-prefix:D8kFAEcm,finetuned,default_length,500,539.042,253.53586775050192,22.22,ft_default_length_gen_no_prefix,,501.0,2026-02-14T05:29:21.232584,0.0,,0.9818740858262309,1074.702,1.5461476762860773,0.6680603472390578
216,no_prefix,1661.648,med_short,548.993,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-no-prefix:D95JmyJR,fine-tuned,med_long,500,764.75,379.47,33.26,ft_med_long_gen_no_prefix,,683.5,2026-02-16 22:45:38,,0.0,1.393005010992854,1643.724,1.0109045070826976,1.0217779684090782
